Corpus	Word	Frequency
children	be	3325
children	have	593
children	go	445
children	love	411
children	do	380
children	not	314
children	friend	282
children	get	282
children	so	280
children	day	267
children	see	256
children	make	241
children	know	215
lay	be	2051
lay	do	667
lay	have	478
lay	so	432
lay	n't	419
lay	know	417
lay	love	395
lay	just	373
lay	not	365
lay	never	266
lay	see	261
lay	go	257
lay	feel	235
professional	be	1820
professional	have	488
professional	not	328
professional	do	252
professional	go	192
professional	say	190
professional	come	184
professional	now	168
professional	make	162
professional	know	161
professional	love	151
professional	so	151
professional	night	147
